,index
2007-12-15,103.1559982299805
2008-01-15,104.43900299072266
2008-02-15,106.94300079345702
2008-03-15,109.98899841308594
2008-04-15,111.73799896240233
2008-05-15,113.86299896240233
2008-06-15,115.83499908447266
2008-07-15,119.55699920654295
2008-08-15,121.23000335693361
2008-09-15,123.31700134277345
2008-10-15,125.83899688720705
2008-11-15,126.68699645996094
2008-12-15,127.29299926757811
2009-01-15,128.40199279785153
2009-02-15,127.00900268554688
2009-03-15,129.91200256347656
2009-04-15,131.97999572753903
2009-05-15,133.66200256347656
2009-06-15,134.83599853515625
2009-07-15,136.40100097656247
2009-08-15,141.45199584960938
2009-09-15,143.19200134277347
2009-10-15,144.6719970703125
2009-11-15,146.7969970703125
2009-12-15,148.406005859375
2010-01-15,150.35600280761722
2010-02-15,153.5469970703125
2010-03-15,156.13800048828125
2010-04-15,161.51800537109375
2010-05-15,164.35600280761722
2010-06-15,168.8459930419922
2010-07-15,173.0449981689453
2010-08-15,176.77400207519534
2010-09-15,178.9669952392578
2010-10-15,181.51300048828125
2010-11-15,184.94799804687497
2010-12-15,186.9160003662109
2011-01-15,189.69099426269528
2011-02-15,192.9129943847656
2011-03-15,197.63000488281247
2011-04-15,202.29299926757812
2011-05-15,206.11700439453122
2011-06-15,209.71899414062497
2011-07-15,215.4010009765625
2011-08-15,219.30499267578128
2011-09-15,222.46800231933597
2011-10-15,224.563003540039
2011-11-15,229.11999511718753
2011-12-15,232.4239959716797
2012-01-15,236.77600097656247
2012-02-15,238.84100341796875
2012-03-15,247.86099243164062
2012-04-15,254.6190032958984
2012-05-15,259.2170104980469
2012-06-15,263.66299438476557
2012-07-15,270.65399169921875
2012-08-15,278.05200195312494
2012-09-15,282.7430114746094
2012-10-15,285.90899658203125
2012-11-15,288.71200561523443
2012-12-15,292.00900268554693
2013-01-15,298.010986328125
2013-02-15,297.6440124511719
2013-03-15,298.8429870605469
2013-04-15,300.93798828125
2013-05-15,306.4880065917968
2013-06-15,318.9729919433594
2013-07-15,326.12200927734375
2013-08-15,330.94900512695307
2013-09-15,336.2380065917968
2013-10-15,340.6440124511719
2013-11-15,350.531005859375
2013-12-15,362.96200561523443
2014-01-15,382.56900024414057
2014-02-15,405.2380065917968
2014-03-15,417.072998046875
2014-04-15,424.4570007324218
2014-05-15,433.84698486328125
2014-06-15,440.41299438476557
2014-07-15,449.7260131835938
2014-08-15,460.89199829101557
2014-09-15,471.6549987792969
2014-10-15,483.2640075683593
2014-11-15,491.5329895019531
2014-12-15,499.36700439453125
2015-01-15,511.031005859375
2015-02-15,516.3519897460938
2015-03-15,527.8649902343751
2015-04-15,538.3690185546875
2015-05-15,547.5960083007814
2015-06-15,559.9039916992189
2015-07-15,572.3209838867188
2015-08-15,584.3250122070312
2015-09-15,594.3759765625
2015-10-15,605.2990112304689
2015-11-15,617.572998046875
2015-12-15,638.8839721679688
2016-01-15,679.1660156249999
2016-02-15,695.4719848632812
2016-03-15,715.0130004882812
2016-04-15,734.6040039062499
2016-05-15,752.5819702148435
2016-06-15,764.8369750976564
